Full Name,Email Address,Are you a/an ,What organization are you affiliated with?,What organization are you affiliated with?.1,Which level of student do you wish to mentor (check all the apply),How many mentees do you wish to mentor?,"If you already are mentoring students via PCCW, please write in the exact number you are mentoring ",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Academia and research],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Architecture and urban planning],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Biotech, pharmaceutical, life sciences, and medical devices]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Business],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Consulting and strategy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Corporate and general management],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Creative fields],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Data and analytics],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Design],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Education],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Energy, sustainability and the environment]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Engineering],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Entrepreneurship and startups],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Finance, investment and financial services]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Health and wellness],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Hospitality],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Human resources],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [IT and technology],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Journalism, publishing and communications]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Law and legal services],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Marketing],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Media and entertainment],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Medicine and healthcare],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Non-profit and social enterprise],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Policy and advocacy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Psychology and social work],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Public service and government],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Real estate],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Retail and consumer goods],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Veterinary medicine],"Would you like your match to be based, in part, on your location?",Your location/where you wish to work (mentees) or reside (mentors); click all that apply that you want to be considered in match,"Would you like your match to be based, in part, on specific career advice you are seeking or want to provide?",Click all career advice areas that apply,"Would you like your match to be based, in part, on your college/school affiliation(s) at Cornell? Graduate students please indicate the college that most closely relates to your Field of Study administered by the Graduate School or professional degree you are obtaining.",Click all that apply,Unnamed: 43,Unnamed: 44
Brandon Morris,bmorris@cornell.edu,Undergraduate student,Other,,,,,,,,3rd,,,4th,,2nd,,5th,,1st Choice,,,,,,,,,,,,,,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area, South Asia",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Entrepreneurship and Startup Advice, Networking",No,,"Diya Singhal is a Cornell Design and Environmental Analysis student focused on design, sustainability, and social innovation, and is seeking mentorship from an alumna leader to grow as a purpose-driven innovator.",
Jack Rodriguez,jackrodriguez9@cornell.edu,Undergraduate student,Other,,,,,,,,2nd,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Transitioning from academia to industry or navigating career changes, Networking",No,,"I am a Bocconi University student in Economic and Social Sciences, currently pursuing an exchange semester at Cornell University. Originally from Milan, Italy, I am passionate about global learning and cross-cultural collaboration.",
Charlotte Martin,cmartin@cornell.edu,PCCW member,,,Undergraduate students,1.0,,,,,,,,,1st Choice,,3rd,,,,,,,,,,,,,,2nd,,,,,,,No,,No,,No,,"After completing my Masters in Engineering in OR at Cornell, I pursued a Ph.D. in Mathematics (ASU) and worked for AT&T. The last 20 years I have been focused on serving as CEO of nonprofit organization HISPA. I can't wait to share my journey and help students discover their potential and succeed!",
Ronald Carter,ronaldc@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,No,,Yes,Work-Life Balance,No,,,
Kathleen Walker,kathleenw@cornell.edu,Undergraduate student,First Gen,,,,,,,,,1st Choice,,,,,,,,,3rd,,,,,,4th,,2nd,,5th,,,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area, Western Europe, UK",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, First Generation student guidance, Networking",Yes,School of Industrial and Labor Relations,"Hi! My name is Alex McEntee, and I am a sophomore transfer in ILR. I'm from NYC and I can't decide if I want to stay in NYC or not. I am really unsure of what my career will look like so I am looking for some mentorship! ",
Brandon Wright,brandonw@cornell.edu,Graduate student,,Other,,,,2nd,,,5th,1st Choice,4th,,,,,,,,,,,,,,,,,,,,3rd,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area, Western Europe, Eastern Europe, UK, East Asia, South Asia",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), International student guidance, Networking",No,,"I am an International student currently pursuing Developmental Psychology(MA) at Cornell. In my free time I love to binge netflix shows, and go dancing with friends! ",
Owen Morris,o.morris76@cornell.edu,Graduate student,,"Graduate and Professional Students Assembly. (GPSA), Other",,,,,,,3rd,4th,1st Choice,,,,,,,5th,,,,,,,,2nd,,,,,,,,,,Yes,"East Coast U.S., NYC area",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Entrepreneurship and Startup Advice, Networking",Yes,Cornell SC Johnson College of Business,"Hi, my name is Amrapali Naik, and I'm a 2nd year MBA student at Cornell Johnson. Prior to coming to Johnson, I lived in Jersey City and worked in the financial services sector at Fidelity Investments. Looking forward to meeting you!",
Lisa Phillips,lisa.phillips@cornell.edu,Undergraduate student,First Gen,,,,,,,,,4th,2nd,,,,,,,,,5th,,,,,,,,1st Choice,,,3rd,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Networking",Yes,"College of Human Ecology, Cornell Jeb E. Brooks School of Public Policy","Hey! I'm a 2nd-year student currently aiming for the Cornell Sloan MHA program after graduation. My career goals are in healthcare administration, I'll be working at a medical billing/practice management company this upcoming summer.",
Andrew Johnson,andrew_johnson@cornell.edu,Undergraduate student,First Gen,,,,,1st Choice,,,,,,,,,2nd,,,,,,,,,5th,,,,,,3rd,,4th,,,,Yes,East Coast U.S.,No,,Yes,College of Agriculture and Life Sciences,I am a first generation community college transfer student currently majoring in communication. ,
Julie Taylor,j.taylor83@cornell.edu,Undergraduate student,First Gen,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,2nd,,,,Yes,"East Coast U.S., NYC area",Yes,"Navigating the workforce, Networking",No,,"Sandy is a current junior at the ILR School. She is interested in pursuing a career in public finance investment banking and ultimately in a public sector role. She is from Brooklyn, New York, and enjoys exploring cafes, trying new foods, and traveling in her free time. ",
Justin Hughes,j.hughes1@cornell.edu,Undergraduate student,First Gen,,,,,2nd,,,5th,,,,,,,,1st Choice,,,,,,,,,,,,,3rd,,4th,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, First Generation student guidance, Networking",Yes,"College of Engineering, Cornell Jeb E. Brooks School of Public Policy","I am a public policy major pursuing an aerospace engineering minor, with a strong commitment to expanding equitable access to STEM education. I’m particularly interested in how education policy and industry collaboration can broaden pathways for underrepresented communities. ",
Mark Bailey,mark.bailey@cornell.edu,Undergraduate student,First Gen,,,,,2nd,,,,,,,,,,,1st Choice,,,,,,3rd,,,,,,,,,,,,,Yes,"East Coast U.S., NYC area",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Transitioning from academia to industry or navigating career changes, First Generation student guidance",Yes,"College of Arts and Sciences, College of Engineering","Hi! My name is Sharon, and I am interested in mechanical and aerospace engineering.",
Emily Lee,e.lee14@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,,5th,4th,,,,,,,,,,,,3rd,,,,,,,2nd,,1st Choice,,,,No,,No,,Yes,College of Arts and Sciences,"An Arts & Sciences graduate, Erin has spent the last 15 years working on emerging technology policy and operations and is currently based in Washington, DC.",
Joan Roberts,joanroberts90@cornell.edu,Graduate student,,Other,,,,,,2nd,,,,,,,,,3rd,,,,,,,,,,,1st Choice,,,,,,,,Yes,"East Coast U.S., UK",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Networking",Yes,College of Engineering,Hi! I am a biomedical engineering graduate student hoping to go into pediatric engineering.I’m extremely excited about the opportunity and cannot wait to listen and learn how to navigate this field!,
Gary Carter,gary.carter@cornell.edu,Undergraduate student,Panhellenic/Multicultural Greek Fraternal Council,,,,,,,,2nd,,,,,,,,,3rd,1st Choice,,,,,,,,,,,,,,,,,Yes,"East Coast U.S., NYC area",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Transitioning from academia to industry or navigating career changes, Networking",Yes,Charles H. Dyson School of Applied Economics and Management,,
Evelyn Baker,evelynb@cornell.edu,PCCW member,,,Graduate students,1.0,,1st Choice,,,,,,,,3rd,2nd,,,,,,,,,,,,,,4th,,,,,,,No,,Yes,"Public Service and Non-Profit Careers, First Generation student guidance",No,,,
Christine Flores,cflores@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,,,,,,,,,,,,,,,,,2nd,,,,,,,1st Choice,,,,No,,No,,No,,"BA Psychology ‘86 & JD ‘92. I have experience in public interest law, judicial clerkships, law firms, & municipal and federal government. I’m a current federal employee. I’d be happy to mentor anyone who might need support in these areas or in more general matters like work/life balance.",
Steven Ramirez,stevenramirez92@cornell.edu,PCCW member,,,Undergraduate students,1.0,0,,,,,,,,,,,,1st Choice,,,,,,2nd,,,,,,,,,,,,,No,,No,,Yes,"College of Arts and Sciences, College of Engineering",,
Nicholas Mendoza,nicholas_mendoza@cornell.edu,Undergraduate student,Other,,,,,2nd,,,,,,,,,,,,,,,,,,5th,,,,1st Choice,,3rd,,4th,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Public Service and Non-Profit Careers",No,,"I am from Berkshire, Massachusetts, and majoring in Global and Public Health Sciences, hopefully with minors in Infectious Disease and Environment & Sustainability. Really interested in pursuing international health through social, environmental, and disease-based community work!!",
Donna Flores,donnaf@cornell.edu,Graduate student,,Other,,,,,,,,,,,,,3rd,,,,,,,,,,,,,,,2nd,,,,,1st Choice,Yes,"East Coast U.S., West Coast U.S., NYC area",Yes,Work-Life Balance,Yes,School of Veterinary Medicine,"I’m a 2nd year veterinary student interested in exotic pet medicine, ornamental fish aquaculture, and DEI in the animal care field. ",
Owen Jimenez,owen.jimenez@cornell.edu,PCCW member,,,Undergraduate students,1.0,,,,,2nd,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,No,,No,,No,,"With 30+ years' experience leading sales and marketing from Fortune 500 brands to PE-backed challenger start-ups, I thrive in driving growth through challenge and change. I'm passionate about developing talent and excited to support a mentee's career journey.",
Jerry Long,jerry.long@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,Yes,"College of Architecture, Art, and Planning",,
Jeffrey Nguyen,jeffrey_nguyen@cornell.edu,PCCW member,,,Undergraduate students,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,2nd,,3rd,,,,No,,No,,No,,"This is the best option, I keep it very up to date: https://www.linkedin.com/in/suzanne-ehlers",
Owen Taylor,owentaylor69@cornell.edu,Undergraduate student,Other,,,,,,,1st Choice,3rd,,,,,,,,,,,4th,,,,,5th,,,,,2nd,,,,,,Yes,"East Coast U.S., NYC area",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Public Service and Non-Profit Careers, Networking",No,,"I am a current junior in the College of Agriculture and Life Sciences at Cornell University studying Biology and Society with minors across health, law, and business.  I am extremely interested in the intersection of these three areas, and I hope to match with someone who is working in these fields!",
Daniel Price,dprice@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,5th,1st Choice,3rd,,,,,,,,,,4th,2nd,,,,,,,,,,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Networking",Yes,"Charles H. Dyson School of Applied Economics and Management, Cornell SC Johnson College of Business, Nolan School of Hotel Administration, Dyson School of Applied Economics and Management, School of Industrial and Labor Relations, Cornell SC Johnson College of Business, The Peter and Stephanie Nolan School of Hotel Administration, The Charles H. Dyson School of Applied Economics and Management, The Samuel Curtis Johnson Graduate School of Management., Johnson Graduate School of Management, MBA",,
Brandon Walker,bwalker@cornell.edu,Undergraduate student,First Gen,,,,,5th,,3rd,,,,,,,,,,,,2nd,,,,,,,,1st Choice,,4th,,,,,,Yes,"East Coast U.S., NYC area",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",No,,"Hello, I’m Zianna Odogwu! I’m a Biology and Society first generation undergraduate student in CALS interested in pursuing medicine and public health from Massachusetts. I would love to pair with a mentor who can offer professional and personal support through my time at Cornell!",
Evelyn Jenkins,evelynjenkins43@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,,,1st Choice,,4th,,,2nd,,,,,,,,,,,,,,,3rd,,,,5th,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Transitioning from academia to industry or navigating career changes, Networking",No,,"Hello! My name is Lydia Homandberg and I am finishing up my PhD in Public Policy and Sociology. My work has broadly focused on population health while utilizing real-world data and I would love to continue this work in the biotech, pharmaceutical, or healthcare industries. ",
Susan Sanders,susans@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",2.0,,,,,4th,,3rd,,,,,,,,,2nd,,,,,,,,1st Choice,,,,,,,,No,,No,,Yes,"College of Human Ecology, Cornell Jeb E. Brooks School of Public Policy",,
Shirley Ramirez,shirley_ramirez@cornell.edu,Undergraduate student,Other,,,,,,,,5th,3rd,,,1st Choice,,,,,,,,,,2nd,,,,,,4th,,,,,,,Yes,"East Coast U.S., NYC area, Western Europe",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Public Service and Non-Profit Careers, International student guidance, Networking",Yes,"College of Agriculture and Life Sciences, Charles H. Dyson School of Applied Economics and Management","I am an international student from Bogotá, Colombia interested in pursuing a career that combines data analysis and cognitive science. I have recently been struggling with the steps to take when applying to internships and the components involved, especially for roles in data driven fields.",
Carol Rogers,crogers@cornell.edu,Undergraduate student,Other,,,,,,,,3rd,2nd,,,,,,1st Choice,,,,,,,,,,4th,,,,,,,,5th,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Networking",Yes,"College of Agriculture and Life Sciences, Charles H. Dyson School of Applied Economics and Management","Hi, I am Emily Nicholson, a junior studying Environment and Sustainability with a concentration in Sustainable Business and a minor in Dyson. I am interested in Sustainability consulting and the energy transition. ",
Kathleen Ramirez,k.ramirez64@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,,
Benjamin Jenkins,benjamin_jenkins@cornell.edu,Graduate student,,Other,,,,,,,5th,,,4th,,,,,,3rd,2nd,,,,,,,,1st Choice,,,,,,,,,Yes,East Coast U.S.,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Transitioning from academia to industry or navigating career changes",Yes,Cornell SC Johnson College of Business,"Hi, my name is Jean-Luc Dorvil and I've secured an IB internship for the summer, looking for guidance as I prepare for the summer ",
Kimberly Lee,k.lee57@cornell.edu,Undergraduate student,First Gen,,,,,,,,,,,,,,,,4th,3rd,2nd,,,,1st Choice,,,,,,5th,,,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, International student guidance, First Generation student guidance, Networking",Yes,"College of Arts and Sciences, Cornell Ann S. Bowers College of Computing and Information Science, College of Engineering","International student from Uzbekistan, looking forward to connect and learn :))",
Donna James,donnajames62@cornell.edu,Undergraduate student,Women's Leadership Initiative (WLI),,,,,,,,,,,,1st Choice,,,5th,,,3rd,,,,,,,,,,,2nd,,4th,,,,Yes,"Western Europe, UK",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), International student guidance, Networking",No,,"Hi, I'm Emilie, an exchange student from France. I major in Mathematics and Economics with a minor in Global development. In the future I want to work in international organizations, specializing in economics of development.",
Mia Ramirez,mia_ramirez@cornell.edu,Undergraduate student,Other,,,,,,,,,,,,,,,,,3rd,,,5th,,,,1st Choice,,,,,2nd,,4th,,,,Yes,"East Coast U.S., West Coast U.S., NYC area, Western Europe",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Networking",No,,"Hi my name is Juliana and I am a Junior from NYC. I am passionate about many industries, from public service to business hospitality. I have many interests, so I would like to be paired with a mentor who can provide guidance! ",
Kelly Nelson,kellynelson60@cornell.edu,Graduate student,,Other,,,,,,,5th,4th,3rd,,,,,,,2nd,1st Choice,,,,,,,,,,,,,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area, Western Europe, UK, East Asia, South Asia",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), International student guidance, Networking",Yes,"Cornell SC Johnson College of Business, MBA","Hi, I’m Hailey, 1st year student at Cornell SC Johnson. I’m excited to learn from your experience in finance and gain insights to guide my career development.",
Maria Carter,mariacarter60@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",2.0,,,,,,,,,,,,,,,,,,,,,2nd,,,,4th,,,"1st Choice, 3rd",,,,Yes,East Coast U.S.,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers, First Generation student guidance, Networking",Yes,College of Arts and Sciences,,
Sandra Kim,sandra.kim@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",3.0,,,,,4th,,2nd,,,,,,,,,,,,3rd,,,,,,,,,1st Choice,,,,No,,No,,Yes,"College of Agriculture and Life Sciences, Dyson School of Applied Economics and Management, The Charles H. Dyson School of Applied Economics and Management",,
Paul Alvarez,paula@cornell.edu,Undergraduate student,First Gen,,,,,,,,,,,,,,,,,4th,,,,,,,1st Choice,2nd,5th,,,3rd,,,,,,Yes,NYC area,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), First Generation student guidance, Networking",Yes,School of Industrial and Labor Relations,"Lorena is a first-gen student at Cornell ILR, an older sister, and someone passionate about helping others. She's interested in law school and loves to be involved in volunteering and advocacy. ",
Raymond Evans,raymond_evans@cornell.edu,Undergraduate student,Panhellenic/Multicultural Greek Fraternal Council,,,,,,,,,,4th,,,,,,,,,,,1st Choice,,,5th,,2nd,,,3rd,,,,,,Yes,"East Coast U.S., NYC area",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Networking",Yes,School of Industrial and Labor Relations,I am a senior in the ILR School from New York City focusing on a career in Human Resources. Outside of the classroom I am in a social sorority and an a cappella group!,
Kimberly Garcia,k.garcia59@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",2.0,1,3rd,,2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,No,,No,,Yes,College of Agriculture and Life Sciences,,
Elizabeth Robinson,elizabethrobinson78@cornell.edu,PCCW member,,,Undergraduate students,2.0,,,,,3rd,,,,4th,,,,,2nd,1st Choice,,,,,,,,,,,,,,,,,No,,No,,No,,,
Victoria Foster,vfoster@cornell.edu,Undergraduate student,Building Ourselves Through Sisterhood and Service (BOSS),,,,,,5th,4th,1st Choice,,3rd,,2nd,,,,,,,,,,,,,,,,,,,,,,,Yes,"East Coast U.S., NYC area, Western Europe, UK",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Entrepreneurship and Startup Advice, Networking",Yes,"College of Arts and Sciences, Cornell Ann S. Bowers College of Computing and Information Science","Hi I am Goretti Muriithi, an investment management analyst and a data scientist. I am interested in retiring early, building a brand and a business around my interests (crocheting, earthy/sustainable fashion, and investing). ",
Shirley Baker,shirley_baker@cornell.edu,Undergraduate student,Other,,,,,1st Choice,,2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.)",No,,"My name is Alima Deen, and I am a junior majoring in Biometry & Statistics with interests in computational biology, machine learning, and systems biology. I plan to apply to PhD programs and fellowships in Fall 2026 and would value guidance on navigating AI-in-biology roles in industry.",
Victoria Kim,victoria.kim@cornell.edu,PCCW member,,,Undergraduate students,1.0,,,,,,,1st Choice,,,,3rd,,,,,,,,,,,,,,2nd,,,,,,,No,,No,,No,,"I've worked in college athletics for my entire career and am currently the Commissioner of the Northeast Conference, a Div. I conference that sponsors 25 sports. My role is akin to being a CEO of a small business. I deal with budgets, HR, media contracts, event management, and board management.",
Kelly Morgan,kellymorgan98@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,,,,,3rd,,,,,,5th,,,,1st Choice,,,,,,2nd,,,,4th,,,,,,No,,Yes,"International student guidance, Transitioning from academia to industry or navigating career changes, Networking",Yes,"Cornell Jeb E. Brooks School of Public Policy, Cornell SC Johnson College of Business, The Samuel Curtis Johnson Graduate School of Management., Johnson Graduate School of Management","Costa Rican with 10+ years of experience in communications, policy, and project management across the private and public sector, and NGOs. She's a MPA candidate concentrating in Economic and Financial Policy. She is also pursuing a certificate in Sustainable Finance at Johnson.
",
Linda Ross,lindar@cornell.edu,PCCW member,,,Undergraduate students,1.0,0,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Networking",No,,"My career is in the Equities or Markets Divisions of large banks and I am now at a small Asian retail broker FinTech launching an Institutional platform.  My daughter at another Ivy League school successfully navigated getting recruited by a large investment bank, I guided that process.  ",
Brenda Lopez,blopez@cornell.edu,PCCW member,,,Undergraduate students,1.0,1,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,2nd,,3rd,,,,Yes,East Coast U.S.,Yes,"Work-Life Balance, Navigating the workforce, Public Service and Non-Profit Careers",No,,"I am an emerita professor at American University law school, but have returned to teach 1 course a year.I am a mother of three ( all Cornell alums) grandmother of 7. My areas of legal focus have been tax,pensions, contracts. I spent about half my career in biglaw and half in academia.",
Frank James,frankjames39@cornell.edu,Undergraduate student,Building Ourselves Through Sisterhood and Service (BOSS),,,,,4th,,,,,,,,,,,,2nd,,3rd,,,,,,,5th,1st Choice,,,,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Entrepreneurship and Startup Advice, Transitioning from academia to industry or navigating career changes, Networking",Yes,College of Human Ecology,"My name is Eden Oje, and I am a Cornell freshman studying Human Biology, Health, and Society! I am a driven, passionate, and resilient Nigerian American who will stop at nothing to make my biggest dream come true: becoming an orthopedic surgeon with my own private practice and learning center.",
Samantha Bell,samanthabell53@cornell.edu,Undergraduate student,First Gen,,,,,,,,1st Choice,,5th,,,,,,,2nd,3rd,,,,,,,,,,4th,,,,,,,Yes,NYC area,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Public Service and Non-Profit Careers, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",Yes,Charles H. Dyson School of Applied Economics and Management,"My name is Brandon, and I am always eager to try new things even if it doesn't seem interesting at first. A fun fact about me is that I have two pet birds back at home and I do no know their names.",
