Full Name,Email Address,Are you a/an,What is your level of student?,Your location/where you wish to be based,"Would you like your match to be based, in part, on your location?",Click all that apply (College/School),"Would you like your match to be based, in part, on your college?",What career advice areas would you like to focus on?,What organization are you affiliated with?,Are you willing to provide your cell phone number?,Please add your phone number (optional),Please provide a short 1-2 sentences that we will use to introduce you to your mentor/mentee. (300 character limit),Is there anything else you would like to share?,Which level of student do you wish to mentor?,How many mentees are you able to take on?,"Please rank your field of interest/expertise [Academia and research] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Architecture and urban planning] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Biotech, pharmaceutical, life sciences, and medical devices] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Business] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Consulting and strategy] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Corporate and general management] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Creative fields] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Data and analytics] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Design] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Education] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Energy, sustainability and the environment] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Engineering] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Entrepreneurship and startups] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Finance, investment and financial services] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Health and wellness] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Hospitality] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Human resources] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [IT and technology] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Journalism, publishing and communications] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Law and legal services] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Marketing] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Media and entertainment] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Medicine and healthcare] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Non-profit and social enterprise] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Policy and advocacy] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Psychology and social work] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Public service and government] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Real estate] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Retail and consumer goods] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Veterinary medicine] (1 = highest priority, 5 = lowest)"
Sofia King,sofiaking23@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,Yes,Cornell Law School,Yes,"Work-Life Balance, Networking, Career Guidance",Other,No,,Cornell senior interested in IT and technology and looking to explore career paths in healthcare access.,,,,,,,3,,,,,,,,,4,,,,,1 - Highest Priority,,,,,,,,,,,2.0,
Zoe Patel,zoepatel95@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,No,Johnson Graduate School Of Management,No,"Work-Life Balance, International Student Guidance, First Generation Student Guidance",Building Ourselves Through Sisterhood and Service (BOSS),No,,I love IT and technology and hope to work in healthcare access after graduation. Always eager to learn!,,,,,,,,,,,,,,,3,5 - Lowest Priority,,,,,1 - Highest Priority,2,4,,,,,,,,,,
Aubrey Roberts,aubreyroberts49@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,No,Weill Cornell Medicine (NYC),No,"Work-Life Balance, Career Guidance, First Generation Student Guidance",GenEq - Gender Equity Resource Center,Yes,607-549-5776,Currently pursuing a degree in IT and technology. Excited to connect with professionals in diversity and inclusion.,Would love to connect with someone in the startup world.,,,,,,,,,,,2.0,,,3,,,,,,1 - Highest Priority,,,,,,4,,,,,,
Liliana Jackson,lilianajackson08@cornell.edu,Undergraduate,Undergraduate,NYC Area,Yes,College Of Human Ecology,Yes,"Navigating The Workforce, Career Guidance",Women's Leadership Initiative (WLI),Yes,607-525-3657,I'm a junior studying Medicine and healthcare at Cornell. I'm passionate about making an impact in healthcare access.,I am a first-gen student and would appreciate any guidance.,,,,,,4,2,,,,,,,,,3,,,,,,,,,1 - Highest Priority,,,,,,,
Victoria Singh,victoriasingh59@outlook.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,Johnson Graduate School Of Management,No,"Work-Life Balance, Career Guidance, First Generation Student Guidance",Building Ourselves Through Sisterhood and Service (BOSS),No,,Experienced professional in Business with 15 years in financial inclusion. Excited to give back.,I am a first-gen student and would appreciate any guidance.,Both,2.0,,,3,1 - Highest Priority,,,,,,,,,,,,,,,2,,,,,,,,,,,
Luna Desai,lunadesai52@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Asia,Yes,Johnson Graduate School Of Management,No,"Work-Life Balance, Navigating The Workforce",Graduate and Professional Students Assembly (GPSA),No,,I love Policy and advocacy and hope to work in sustainability after graduation. Always eager to learn!,I am a first-gen student and would appreciate any guidance.,,,,,,,,,,,,,,,,,,,,2,,,,,,,1 - Highest Priority,3,,,,
Leah Lewis,leahlewis46@gmail.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,Cornell SC Johnson College Of Business,No,Transitioning From Academia To Industry Or Navigating Career Changes,Cornell Tech,Yes,212-473-2319,Cornell alum working in IT and technology. Happy to share insights about careers in tech for good.,Happy to meet once a month or more.,Undergraduate,1.0,,,,,,,,,,,,,,2,4,,,1 - Highest Priority,,3,,,5 - Lowest Priority,,,,,,,
Mia Nguyen,mianguyen62@cornell.edu,Undergraduate,Undergraduate,East Asia,No,College Of Arts And Sciences,No,Career Guidance,Women's Leadership Initiative (WLI),No,,Passionate about Business with a growing interest in entrepreneurship. Looking forward to mentorship.,Would love to connect with someone in the startup world.,,,,,,1 - Highest Priority,,,,,,,,,,3,,,,2,,,,,,,,,,,,
Eleanor Perez,eleanorperez55@icloud.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,Yes,Johnson Graduate School Of Management,No,Career Guidance,Cornell Tech,No,,Cornell alum working in Marketing. Happy to share insights about careers in innovation.,Looking for someone in NYC area if possible.,Both,1.0,,,3,,,,,,,,,4,,,,,,,,5 - Lowest Priority,1 - Highest Priority,,,,,2,,,,
Priya Wilson,priyawilson91@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,West Coast U.S.,Yes,Johnson Graduate School Of Management,Yes,Career Guidance,Other,No,,"I love Journalism, publishing and communications and hope to work in entrepreneurship after graduation. Always eager to learn!",,,,,,2,,,,,,,,,4,,,,,,3,1 - Highest Priority,,,,,5 - Lowest Priority,,,,,,
Aubree Harris,aubreeharris07@cornell.edu,Undergraduate,Undergraduate,East Coast U.S.,Yes,College Of Human Ecology,Yes,"Public Service And Non-Profit Careers, Work-Life Balance, Navigating The Workforce",Building Ourselves Through Sisterhood and Service (BOSS),No,,I love Business and hope to work in sustainability after graduation. Always eager to learn!,I am a first-gen student and would appreciate any guidance.,,,,,,1 - Highest Priority,,,,,,,,4,,,,,,3,,2,,,,,,,,,,
Aisha Nguyen,aishanguyen73@cornell.edu,Undergraduate,Undergraduate,UK,Yes,College Of Agriculture And Life Sciences,Yes,"Entrepreneurship And Startup Advice, Networking",Other,No,,Currently pursuing a degree in IT and technology. Excited to connect with professionals in social impact.,,,,,,2,,,,,,,,,,4,,3,,,1 - Highest Priority,,,,,,,,,,,,
Adalynn Jimenez,adalynnjimenez35@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,Yes,Graduate School Field Of Study,Yes,"Navigating The Workforce, Work-Life Balance, Transitioning From Academia To Industry Or Navigating Career Changes",Women's Leadership Initiative (WLI),Yes,607-739-1857,Passionate about Corporate and general management with a growing interest in healthcare access. Looking forward to mentorship.,Happy to share my journey from undergrad to grad school.,,,,2,,,,1 - Highest Priority,,,,,,,,,,,3,,,,,,,,,,,,,
Eleanor Wang,eleanorwang93@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,Yes,The Samuel Curtis Johnson Graduate School Of Management.,Yes,"Work-Life Balance, Transitioning From Academia To Industry Or Navigating Career Changes",Other,Yes,607-140-1614,Cornell sophomore interested in IT and technology and looking to explore career paths in social impact.,,,,,,,3,,4,,,,,,,,,,,,1 - Highest Priority,,2,,,,,,,,,,
Willow Gonzalez,willowgonzalez49@gmail.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,Cornell University,No,Navigating The Workforce,First Gen,No,,Senior Health and wellness professional with extensive experience in tech for good.,Happy to meet once a month or more.,Both,1.0,,,2,,,,,,,,,,,,1 - Highest Priority,,,3,,4,,,,,,,,,,
Genesis Thompson,genesisthompson79@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,Yes,Cornell Law School,No,"Navigating The Workforce, Transitioning From Academia To Industry Or Navigating Career Changes",Graduate and Professional Students Assembly (GPSA),Yes,607-144-8250,Aspiring Business professional with interests in sustainability and making a difference.,Happy to share my journey from undergrad to grad school.,,,,,,1 - Highest Priority,,,,5 - Lowest Priority,,,,3,,,4,,,2,,,,,,,,,,,,
Sofia Johnson,sofiajohnson79@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,No,Cornell Ann S. Bowers College Of Computing And Information Science,No,"Networking, Career Guidance, Work-Life Balance",Cornell Tech,No,,"Currently pursuing a degree in Energy, sustainability and the environment. Excited to connect with professionals in innovation.",Would love to connect with someone in the startup world.,,,,,4,,,3,,,,,1 - Highest Priority,,,,,,,,,,,,,,,,,2,,
Emery Adams,emeryadams21@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,Yes,School Of Veterinary Medicine,Yes,Navigating The Workforce,Other,No,,Currently pursuing a degree in Entrepreneurship and startups. Excited to connect with professionals in sustainability.,,,,,,,,,,,,,,,2,1 - Highest Priority,,,,,3,,,,,,,,,,,,
Ella Chen,ellachen38@yahoo.com,PCCW Mentor (Cornell Alum),,West Coast U.S.,Yes,Cornell Law School,No,"Navigating The Workforce, Career Guidance, First Generation Student Guidance",Cornell Tech,Yes,212-456-5641,Cornell alum working in Creative fields. Happy to share insights about careers in healthcare access.,,Graduate,1.0,,,5 - Lowest Priority,,,,1 - Highest Priority,,,,,,4,,,,,,3,,,,,,,,,,,2
Liliana Lopez,lilianalopez40@cornell.edu,Undergraduate,Undergraduate,East Coast U.S.,No,The Peter And Stephanie Nolan School Of Hotel Administration,Yes,"International Student Guidance, Career Guidance",First Gen,No,,I'm a senior studying Real estate at Cornell. I'm passionate about making an impact in innovation.,,,,,,3,2,,,,,,,,,,5 - Lowest Priority,,,,,,4,,,,,,,,1 - Highest Priority,,
Madison Flores,madisonflores66@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,Other,Yes,School Of Veterinary Medicine,No,"International Student Guidance, Career Guidance",Graduate and Professional Students Assembly (GPSA),Yes,607-815-1558,I love IT and technology and hope to work in tech for good after graduation. Always eager to learn!,Available on weekday evenings only.,,,,,2,,,3,,,,,,,,,,,,1 - Highest Priority,,,,,,,,,,,,
Nova Wang,novawang11@icloud.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,College Of Arts And Sciences,Yes,"Career Guidance, Transitioning From Academia To Industry Or Navigating Career Changes",Panhellenic/Multicultural Greek Fraternal Council,Yes,212-173-5339,"Proud Cornell grad. Now working in Marketing, specializing in tech for good.",,,1.0,,,,4,,,,,,,,,,,,,,,,3,1 - Highest Priority,,,,,2,,,,
Quinn Chen,quinnchen23@cornell.edu,Undergraduate,Undergraduate,East Coast U.S.,Yes,Cornell Ann S. Bowers College Of Computing And Information Science,No,"Networking, Entrepreneurship And Startup Advice",Women's Leadership Initiative (WLI),Yes,607-160-3753,Cornell junior interested in IT and technology and looking to explore career paths in policy reform.,,,,,,,2,,,,,,,,,,4,,3,,1 - Highest Priority,,,,,,,,,5 - Lowest Priority,,,
Audrey Reyes,audreyreyes22@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,No,The Samuel Curtis Johnson Graduate School Of Management.,No,"Career Guidance, Navigating The Workforce, Networking",Other,Yes,607-442-4117,I love Health and wellness and hope to work in healthcare access after graduation. Always eager to learn!,Looking for someone in NYC area if possible.,,,,,,,,,,,,,,,,,1 - Highest Priority,,,3,,,2,,,,,,,,,
Zoey Walker,zoeywalker88@yahoo.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,No,College Of Engineering,No,"Career Guidance, First Generation Student Guidance, Public Service And Non-Profit Careers",GenEq - Gender Equity Resource Center,Yes,212-758-1698,Experienced professional in Business with 20 years in sustainability. Excited to give back.,,Both,2.0,,,,1 - Highest Priority,,2,,,,,4,,,,5 - Lowest Priority,,,,,,,,,,,3,,,,
Aubree Scott,aubreescott10@cornell.edu,Undergraduate,Undergraduate,East Coast U.S.,No,College Of Engineering,No,"Navigating The Workforce, Career Guidance",Panhellenic/Multicultural Greek Fraternal Council,No,,Passionate about Business with a growing interest in tech for good. Looking forward to mentorship.,,,,,,4,1 - Highest Priority,,,,,,,,,,3,,,,,,2,,,,,,,,,,
Amelia Chavez,ameliachavez91@gmail.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,Cornell Law School,No,"Public Service And Non-Profit Careers, Navigating The Workforce",Graduate and Professional Students Assembly (GPSA),Yes,212-269-1006,Experienced professional in IT and technology with 5 years in community building. Excited to give back.,,Undergraduate,1.0,,,,4,,3,,,,,,2,,,,,,1 - Highest Priority,,,,,,,,,,,,
Aurora Rivera,aurorarivera02@gmail.com,PCCW Mentor (Cornell Alum),,West Coast U.S.,Yes,Cornell University,No,"Navigating The Workforce, Career Guidance",Graduate and Professional Students Assembly (GPSA),Yes,212-833-6185,Senior Marketing professional with extensive experience in sustainability.,Happy to share my journey from undergrad to grad school.,Both,2.0,,,3,,,,,,,,,,2,,4,,,,,,1 - Highest Priority,,,,,,,,,
Mia Sharma,miasharma44@yahoo.com,PCCW Mentor (Cornell Alum),,NYC Area,No,Cornell University,No,Transitioning From Academia To Industry Or Navigating Career Changes,Panhellenic/Multicultural Greek Fraternal Council,No,,I've spent 12+ years in Policy and advocacy and love mentoring the next generation in innovation.,,Graduate,2.0,,,,,,,,,,,,3,,,,,,,2,,,,,,1 - Highest Priority,,,,,
Ellie Martin,elliemartin15@yahoo.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,Yes,Cornell University,Yes,First Generation Student Guidance,Women's Leadership Initiative (WLI),No,,"Cornell alum working in Journalism, publishing and communications. Happy to share insights about careers in policy reform.",,Graduate,1.0,,,2,,,,,,,,,4,,,,,,3,1 - Highest Priority,,,,,,,,,,,
Madison Robinson,madisonrobinson52@outlook.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,Yes,College Of Engineering,Yes,"Networking, Transitioning From Academia To Industry Or Navigating Career Changes",Other,Yes,212-135-6071,Cornell alum working in Business. Happy to share insights about careers in healthcare access.,,Undergraduate,1.0,,,,1 - Highest Priority,4,,,,,,,,,,,,,,,3,,,,2,,,,,,
Elizabeth Harris,elizabethharris30@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,South Asia,Yes,School Of Veterinary Medicine,No,"Career Guidance, Work-Life Balance",Panhellenic/Multicultural Greek Fraternal Council,No,,I love Policy and advocacy and hope to work in community building after graduation. Always eager to learn!,Looking for someone in NYC area if possible.,,,,,3,,4,,,,,,,,,,,,,2,,5 - Lowest Priority,,,,,1 - Highest Priority,,,,,
Stella Vasquez,stellavasquez14@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,Yes,Cornell Ann S. Bowers College Of Computing And Information Science,Yes,"Navigating The Workforce, Work-Life Balance, Transitioning From Academia To Industry Or Navigating Career Changes",Cornell Tech,No,,Aspiring Data and analytics professional with interests in social impact and making a difference.,Would love to connect with someone in the startup world.,,,,,,,,,,1 - Highest Priority,4.0,,,,,,,,,2,,,3,,,,,,,5 - Lowest Priority,,
Madison Mehta,madisonmehta60@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,No,Graduate School Field Of Study,No,"Work-Life Balance, Career Guidance",Cornell Tech,No,,"Passionate about Biotech, pharmaceutical, life sciences, and medical devices with a growing interest in healthcare access. Looking forward to mentorship.",,,,,,1 - Highest Priority,,,,,3,,,,4,,,,,,,,,2,,,,,,,5 - Lowest Priority,,
Eleanor Harris,eleanorharris65@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,Yes,The Samuel Curtis Johnson Graduate School Of Management.,Yes,Transitioning From Academia To Industry Or Navigating Career Changes,Other,No,,"Passionate about Journalism, publishing and communications with a growing interest in community building. Looking forward to mentorship.",Prefer virtual meetings.,,,,,,,,,,,,,,,3,,2,,,,1 - Highest Priority,,,,,,,,,,,
Nova Wright,novawright06@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,Yes,The Samuel Curtis Johnson Graduate School Of Management.,No,"Public Service And Non-Profit Careers, Transitioning From Academia To Industry Or Navigating Career Changes",Cornell Tech,Yes,607-716-6895,Cornell sophomore interested in Creative fields and looking to explore career paths in innovation.,Looking for someone in NYC area if possible.,,,,,,,,,1 - Highest Priority,,,,,,3,,,,,,,,,,2,,,,,,,
Amelia Flores,ameliaflores53@cornell.edu,Undergraduate,Undergraduate,NYC Area,Yes,The Peter And Stephanie Nolan School Of Hotel Administration,No,"Career Guidance, Work-Life Balance, Public Service And Non-Profit Careers",GenEq - Gender Equity Resource Center,No,,Passionate about IT and technology with a growing interest in diversity and inclusion. Looking forward to mentorship.,Would love to connect with someone in the startup world.,,,,3,,,,,,,,,,,,,,,,1 - Highest Priority,,,,,4,,,2,,,,
Adalynn Wilson,adalynnwilson03@gmail.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,Yes,College Of Engineering,Yes,"Career Guidance, Work-Life Balance",Graduate and Professional Students Assembly (GPSA),Yes,212-624-6965,Experienced professional in Veterinary medicine with 8 years in entrepreneurship. Excited to give back.,,Undergraduate,2.0,,,,,,,,,,,,3,,,,,,2,,,4,,,,,,,,,1 - Highest Priority
Sarah Wilson,sarahwilson27@yahoo.com,PCCW Mentor (Cornell Alum),,Western Europe,Yes,Cornell Tech (NYC),Yes,"First Generation Student Guidance, Work-Life Balance",Other,No,,Cornell alum working in Engineering. Happy to share insights about careers in entrepreneurship.,I am a first-gen student and would appreciate any guidance.,Undergraduate,2.0,,,2,,,,,,,,,1 - Highest Priority,,,,,,,,5 - Lowest Priority,,,4,,,3,,,,
Josephine Campbell,josephinecampbell25@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,UK,Yes,Graduate School Field Of Study,Yes,"Navigating The Workforce, Work-Life Balance, Transitioning From Academia To Industry Or Navigating Career Changes",Women's Leadership Initiative (WLI),Yes,607-256-9128,Cornell first-year interested in Business and looking to explore career paths in social impact.,Happy to meet once a month or more.,,,,,,1 - Highest Priority,,,,,,,,,,,,,,,,3,2,,,,,,,,,
Aubree Patel,aubreepatel70@gmail.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,Yes,Johnson Graduate School Of Management,No,"Work-Life Balance, Career Guidance",GenEq - Gender Equity Resource Center,No,,Senior Medicine and healthcare professional with extensive experience in community building.,Happy to meet once a month or more.,Both,2.0,,,,,,,,,,,,,,,,,,3,,2,,,1 - Highest Priority,,,,,,,
Lucy Do,lucydo10@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,No,Johnson Graduate School Of Management,Yes,Networking,Graduate and Professional Students Assembly (GPSA),No,,Passionate about Law and legal services with a growing interest in policy reform. Looking forward to mentorship.,Happy to meet once a month or more.,,,,,,,,,,,,,,2,3,,,,,4,,1 - Highest Priority,,,,,,,,5 - Lowest Priority,,
Allison Diaz,allisondiaz02@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,Western Europe,Yes,Cornell Ann S. Bowers College Of Computing And Information Science,Yes,Career Guidance,GenEq - Gender Equity Resource Center,Yes,607-558-4282,I love Psychology and social work and hope to work in community building after graduation. Always eager to learn!,I am a first-gen student and would appreciate any guidance.,,,,,5 - Lowest Priority,,,,,,,,,2,,,,,,4,,,,,,3,,1 - Highest Priority,,,,
Violet King,violetking03@icloud.com,PCCW Mentor (Cornell Alum),,East Asia,Yes,Cornell SC Johnson College Of Business,No,Career Guidance,Panhellenic/Multicultural Greek Fraternal Council,Yes,212-933-1357,Cornell alum working in Business. Happy to share insights about careers in policy reform.,Happy to share my journey from undergrad to grad school.,Both,2.0,,2,,1 - Highest Priority,,,,,,,,,,4,,,,,,5 - Lowest Priority,,,3,,,,,,,
Zoe Campbell,zoecampbell68@cornell.edu,Undergraduate,Undergraduate,East Coast U.S.,No,Cornell SC Johnson College Of Business,No,"Transitioning From Academia To Industry Or Navigating Career Changes, Networking, Work-Life Balance",GenEq - Gender Equity Resource Center,No,,"I love Finance, investment and financial services and hope to work in diversity and inclusion after graduation. Always eager to learn!",,,,,,,,,,,,,,,,,1 - Highest Priority,,,,,,3,4,,2,,,,,,,
Claire Rivera,clairerivera00@icloud.com,PCCW Mentor (Cornell Alum),,NYC Area,No,College Of Engineering,No,Work-Life Balance,Other,No,,"Proud Cornell grad. Now working in Medicine and healthcare, specializing in policy reform.",Available on weekday evenings only.,Graduate,1.0,,,,3,,,4,,,,,5 - Lowest Priority,,,,,,,,,,,1 - Highest Priority,,,,2,,,
Savannah Sanchez,savannahsanchez96@cornell.edu,Undergraduate,Undergraduate,East Coast U.S.,Yes,Cornell Ann S. Bowers College Of Computing And Information Science,No,"Work-Life Balance, Career Guidance",First Gen,Yes,607-497-8207,Cornell first-year interested in Law and legal services and looking to explore career paths in community building.,,,,,,,,,,5 - Lowest Priority,,,,,,,2,3,,,4,,1 - Highest Priority,,,,,,,,,,
Willow Vasquez,willowvasquez27@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,South Asia,Yes,College Of Engineering,Yes,"Work-Life Balance, Public Service And Non-Profit Careers",Other,Yes,607-980-9174,Currently pursuing a degree in Business. Excited to connect with professionals in policy reform.,Happy to meet once a month or more.,,,2,,,1 - Highest Priority,,,,,,,,,,,3,,,4,,,,,,,,,,,,
Mia Dang,miadang29@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,Other,Yes,Cornell Tech (NYC),No,"First Generation Student Guidance, Entrepreneurship And Startup Advice, Transitioning From Academia To Industry Or Navigating Career Changes",GenEq - Gender Equity Resource Center,No,,Aspiring Medicine and healthcare professional with interests in entrepreneurship and making a difference.,,,,,,,2,,,,,,,,,,,,,,3,4,,,,1 - Highest Priority,,,,,,,
Peyton Vasquez,peytonvasquez97@gmail.com,PCCW Mentor (Cornell Alum),,West Coast U.S.,Yes,Cornell SC Johnson College Of Business,No,"Networking, Work-Life Balance, Transitioning From Academia To Industry Or Navigating Career Changes",GenEq - Gender Equity Resource Center,Yes,212-571-5564,Senior Veterinary medicine professional with extensive experience in tech for good.,Happy to meet once a month or more.,Graduate,1.0,,,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,1 - Highest Priority
Aubrey Rivera,aubreyrivera28@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,Other,No,Weill Cornell Medicine (NYC),No,Transitioning From Academia To Industry Or Navigating Career Changes,Women's Leadership Initiative (WLI),Yes,607-462-5127,Passionate about Business with a growing interest in tech for good. Looking forward to mentorship.,Happy to share my journey from undergrad to grad school.,,,,,,1 - Highest Priority,,,,,,,,4,,,,,,3,,2,,,,,,,,,,
Mackenzie Baker,mackenziebaker45@cornell.edu,Undergraduate,Undergraduate,NYC Area,Yes,College Of Human Ecology,No,Work-Life Balance,Women's Leadership Initiative (WLI),Yes,607-643-5121,Passionate about Medicine and healthcare with a growing interest in tech for good. Looking forward to mentorship.,Looking for someone in NYC area if possible.,,,,2,,3,,,,,,,,,,5 - Lowest Priority,,,,,,4,,,1 - Highest Priority,,,,,,,
Addison Davis,addisondavis94@gmail.com,PCCW Mentor (Cornell Alum),,UK,Yes,Cornell SC Johnson College Of Business,No,Career Guidance,Women's Leadership Initiative (WLI),No,,Cornell alum working in Business. Happy to share insights about careers in entrepreneurship.,,Both,1.0,,,,1 - Highest Priority,,,,,,,,,,,,,,,,3,,,,2,,,,,,
Caroline Rivera,carolinerivera82@cornell.edu,Undergraduate,Undergraduate,East Coast U.S.,No,College Of Engineering,No,"Work-Life Balance, Career Guidance, Navigating The Workforce",Other,No,,Aspiring IT and technology professional with interests in community building and making a difference.,,,,,,,,,,,,,,2,,,,,,,1 - Highest Priority,,,,,,,,3,,,,
Sadie Desai,sadiedesai70@cornell.edu,Undergraduate,Undergraduate,East Asia,Yes,"College Of Architecture, Art, And Planning",No,"Work-Life Balance, International Student Guidance",Other,No,,"I'm a junior studying Finance, investment and financial services at Cornell. I'm passionate about making an impact in tech for good.",Prefer virtual meetings.,,,,,,,,,,,,,,3,,1 - Highest Priority,,,,2,,,,,,,,,,,,
Emilia Wang,emiliawang18@yahoo.com,PCCW Mentor (Cornell Alum),,West Coast U.S.,No,College Of Arts And Sciences,Yes,Transitioning From Academia To Industry Or Navigating Career Changes,Cornell Tech,No,,"Cornell alum working in Finance, investment and financial services. Happy to share insights about careers in innovation.",Would love to connect with someone in the startup world.,Both,2.0,,,,,,,,,,,,,,1 - Highest Priority,,,,2,,,,,3,,,,,,,
Amelia Gonzalez,ameliagonzalez49@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,Western Europe,No,Johnson Graduate School Of Management,No,"Entrepreneurship And Startup Advice, Navigating The Workforce, Work-Life Balance",Cornell Tech,Yes,607-196-4278,I'm a first-year studying Medicine and healthcare at Cornell. I'm passionate about making an impact in entrepreneurship.,,,,,,,,,,,,,,,,3,,,,,4,,,,,1 - Highest Priority,,,5 - Lowest Priority,2,,,
Paisley Clark,paisleyclark62@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,UK,Yes,Weill Cornell Medicine (NYC),No,Work-Life Balance,Women's Leadership Initiative (WLI),Yes,607-197-4303,"I'm a first-year studying Biotech, pharmaceutical, life sciences, and medical devices at Cornell. I'm passionate about making an impact in policy reform.",,,,,,1 - Highest Priority,,,,,,,,,,,2,,,,3,,,,,,,,,,,,
Willow Kaur,willowkaur93@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,West Coast U.S.,Yes,Weill Cornell Medicine (NYC),No,Career Guidance,Graduate and Professional Students Assembly (GPSA),No,,Currently pursuing a degree in IT and technology. Excited to connect with professionals in tech for good.,,,,,,,2,5 - Lowest Priority,,,,,,,,4,,,,,1 - Highest Priority,,,,,,3,,,,,,
