Timestamp,Email Address,Name,Preferred Name,Are you a/an ,What organization are you affiliated with?,What organization are you affiliated with?.1,Are you willing to provide a cell phone number to be contacted by your mentor? ,Please add your phone number,Which level of student do you wish to mentor (check all the apply),How many mentees do you wish to mentor?,"If you already are mentoring students via PCCW, please write in the exact number you are mentoring ",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Academia and research],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Architecture and urban planning],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Biotech, pharmaceutical, life sciences, and medical devices]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Business],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Consulting and strategy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Corporate and general management],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Creative fields],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Data and analytics],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Design],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Education],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Energy, sustainability and the environment]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Engineering],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Entrepreneurship and startups],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Finance, investment and financial services]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Health and wellness],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Hospitality],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Human resources],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [IT and technology],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Journalism, publishing and communications]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Law and legal services],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Marketing],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Media and entertainment],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Medicine and healthcare],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Non-profit and social enterprise],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Policy and advocacy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Psychology and social work],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Public service and government],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Real estate],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Retail and consumer goods],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Veterinary medicine],"Would you like your match to be based, in part, on your location?",Your location/where you wish to work (mentees) or reside (mentors); click all that apply that you want to be considered in match,"Would you like your match to be based, in part, on specific career advice you are seeking or want to provide?",Click all career advice areas that apply,"Would you like your match to be based, in part, on your college/school affiliation(s) at Cornell? Graduate students please indicate the college that most closely relates to your Field of Study administered by the Graduate School or professional degree you are obtaining.",Click all that apply,Please provide a short bio that we will use to introduce you to your mentor/mentee.,"Is there anything else you would like to share with the mentoring committee about yourself? (could include hobbies. interests, volunteering, etc.)","Is there anything else you would like to share with the mentor...urself? (could include hobbies. interests, volunteering, etc.)"
08/31/2025 13:59:29,robert.clark51@gmail.com,Robert Clark,,Graduate student,,Cornell Tech,Yes,(569)909-6705x46688,,,,,,,,,,,2nd,,,,,,,,,,1st Choice,,,,,,,,,,,,,No,,Yes,"Networking, Entrepreneurship And Startup Advice",Yes,College Of Engineering,My background is in deepening experience in it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
03/18/2025 14:32:24,jeffrey.graham52@cornell.edu,Jeffrey Graham,,Graduate student,,Other,Yes,2658627298,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,Yes,West Coast U.S.,Yes,"International Student Guidance, Career Guidance",No,,I am currently transitioning within engineering and I’m excited to learn from different perspectives.,In my free time I enjoy campus community building.,In my free time I enjoy campus community building.
10/30/2025 19:29:38,brittany.alvarado53@outlook.com,Brittany Alvarado,,Graduate student,,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,No,,Yes,International Student Guidance,Yes,School Of Veterinary Medicine,I’m researching veterinary medicine and would love to connect around career paths and community.,In my free time I enjoy student leadership.,In my free time I enjoy student leadership.
05/12/2025 05:12:30,christopher.patterson54@cornell.edu,Christopher Patterson,,Graduate student,,Cornell Tech,Yes,820.646.5375x564,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,No,,Yes,Transitioning From Academia To Industry Or Navigating Career Changes,Yes,Cornell SC Johnson College Of Business,"My background is in deepening experience in finance, investment and financial services and I enjoy helping others think through next steps.",In my free time I enjoy student leadership.,In my free time I enjoy student leadership.
05/09/2025 18:35:35,mary.ruiz55@outlook.com,Mary Ruiz,Mary,Undergraduate student,Professional/Academic Organization,,Yes,001-580-453-1003x3092,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,3rd,,,,2nd,,,,,No,,No,,Yes,Cornell Ann S. Bowers College Of Computing And Information Science,My background is in exploring it and technology and would love to connect around career paths and community.,In my free time I enjoy student leadership.,In my free time I enjoy student leadership.
08/12/2025 00:46:39,thomas.wilson56@cornell.edu,Thomas Wilson,Thomas,Graduate student,,Cornell Tech,No,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,2nd,,,,,,Yes,NYC Area,Yes,"Networking, Navigating The Workforce",Yes,College Of Engineering,I am currently researching it and technology and I enjoy helping others think through next steps.,In my free time I enjoy running and hiking.,In my free time I enjoy running and hiking.
05/04/2025 03:53:22,stacie.marshall57@outlook.com,Stacie Marshall,Stacie,PCCW member,,,Yes,852-899-1241x904,Undergraduate,3.0,0.0,,,,,,,,,,,,,,,1st Choice,,,,,,,,2nd,,,,,,,,Yes,NYC Area,No,,Yes,College Of Human Ecology,I am currently bringing experience in health and wellness and I’m excited to learn from different perspectives.,In my free time I enjoy peer mentorship.,In my free time I enjoy peer mentorship.
08/12/2025 01:26:16,shelly.gonzalez58@gmail.com,Shelly Gonzalez,Shel,Graduate student,,Other,Yes,001-831-749-1905,,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Career Guidance,No,,I am currently deepening experience in architecture and urban planning and I value thoughtful mentoring relationships.,In my free time I enjoy cooking for friends.,In my free time I enjoy cooking for friends.
06/13/2025 17:20:48,casey.holland59@gmail.com,Casey Holland,,PCCW member,,,Yes,4676165726,Undergraduate,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,No,,Yes,"Career Guidance, Networking",Yes,"College Of Architecture, Art, And Planning",I have been bringing experience in real estate and I enjoy helping others think through next steps.,In my free time I enjoy baking.,In my free time I enjoy baking.
10/26/2025 16:44:28,christina.gillespie60@cornell.edu,Christina Gillespie,Christina,Undergraduate student,Building Ourselves Through Sisterhood and Service (BOSS),,Yes,001-877-769-4531x47379,,,,,,2nd,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,Yes,NYC Area,Yes,First Generation Student Guidance,No,,I’m especially interested in curious about it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
10/29/2025 09:09:18,anthony.rosales61@gmail.com,Anthony Rosales,Anthony,Graduate student,,Cornell Tech,Yes,(273)554-5494,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,No,,No,,Yes,Cornell SC Johnson College Of Business,My background is in researching entrepreneurship and startups and I value thoughtful mentoring relationships.,In my free time I enjoy campus community building.,In my free time I enjoy campus community building.
09/18/2025 02:23:22,christopher.cortez62@gmail.com,Christopher Cortez,Christopher,Graduate student,,Cornell Tech,No,,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,East Coast U.S.,Yes,Transitioning From Academia To Industry Or Navigating Career Changes,No,,I’m deepening experience in academia and research and I value thoughtful mentoring relationships.,In my free time I enjoy campus community building.,In my free time I enjoy campus community building.
06/28/2025 21:20:13,tracy.chang63@gmail.com,Tracy Chang,Tracy,Graduate student,,Cornell Tech,Yes,001-777-970-1436x349,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,Yes,East Coast U.S.,Yes,Networking,No,,I’m especially interested in deepening experience in medicine and healthcare and I’m excited to learn from different perspectives.,In my free time I enjoy peer mentorship.,In my free time I enjoy peer mentorship.
01/25/2025 09:01:02,angela.cooper64@cornell.edu,Angela Cooper,,Graduate student,,Graduate and Professional Student Assembly (GPSA),Yes,001-485-557-4443x1351,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,No,,Yes,Networking,No,,I’m researching engineering and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
10/21/2025 16:09:29,javier.washington65@outlook.com,Javier Washington,Javier,PCCW member,,,Yes,001-498-694-1343x5240,Undergraduate,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,No,,Yes,Transitioning From Academia To Industry Or Navigating Career Changes,No,,I have been bringing experience in medicine and healthcare and I value thoughtful mentoring relationships.,In my free time I enjoy language learning.,In my free time I enjoy language learning.
02/12/2025 12:33:22,brandon.brown66@cornell.edu,Brandon Brown,,Undergraduate student,First Gen,,Yes,627-910-9477x7520,,,,,,,,,,,,,,,,,,1st Choice,,,,,,3rd,2nd,,,,,,,,,No,,Yes,Career Guidance,Yes,Cornell Ann S. Bowers College Of Computing And Information Science,My background is in exploring health and wellness and I’m excited to learn from different perspectives.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
08/21/2025 07:33:11,danny.jones67@outlook.com,Danny Jones,,PCCW member,,,No,,Graduate,3.0,0.0,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,Yes,"East Coast U.S., East Asia",Yes,"Navigating The Workforce, Networking",No,,I’m especially interested in mentoring around health and wellness and I’m excited to learn from different perspectives.,In my free time I enjoy photography.,In my free time I enjoy photography.
09/03/2025 02:53:33,travis.ray68@outlook.com,Travis Ray,,Graduate student,,Cornell Tech,Yes,+1-502-829-4131x86999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,Yes,East Coast U.S.,No,,No,,I’m deepening experience in real estate and would love to connect around career paths and community.,In my free time I enjoy yoga and mindfulness.,In my free time I enjoy yoga and mindfulness.
08/03/2025 01:52:08,shannon.ramos69@cornell.edu,Shannon Ramos,,PCCW member,,,No,,Graduate,1.0,1.0,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,No,,No,,Yes,Cornell Law School,I’m working in law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
01/26/2025 18:36:43,michelle.branch70@outlook.com,Michelle Branch,Michelle,Undergraduate student,Residence Hall Council,,Yes,399-409-1334x1232,,,,,,,,,,,,,,,,,2nd,,,,,,1st Choice,,,,,,,3rd,,,,No,,No,,No,,I am currently learning about law and legal services and I enjoy helping others think through next steps.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
08/02/2025 17:24:11,aaron.hayes71@cornell.edu,Aaron Hayes,,PCCW member,,,Yes,+1-574-803-4471x349,"Undergraduate, Graduate",3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,No,,No,,Yes,School Of Veterinary Medicine,I’m especially interested in working in veterinary medicine and I enjoy helping others think through next steps.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
05/11/2025 06:08:50,danny.walker72@cornell.edu,Danny Walker,Danny,PCCW member,,,No,,Undergraduate,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2nd,,,,1st Choice,No,,Yes,Work-Life Balance,No,,My background is in bringing experience in veterinary medicine and I enjoy helping others think through next steps.,In my free time I enjoy music and live performances.,In my free time I enjoy music and live performances.
07/16/2025 22:43:38,edward.baker73@gmail.com,Edward Baker,,PCCW member,,,Yes,(310)924-9947,"Undergraduate, Graduate",3.0,0.0,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,Yes,East Asia,Yes,"Public Service And Non-Profit Careers, Networking",No,,I’m especially interested in working in it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
02/22/2025 13:51:28,haley.lyons74@gmail.com,Haley Lyons,,Graduate student,,Graduate and Professional Student Assembly (GPSA),No,,,,,,,,,,,,,,,,,2nd,1st Choice,,,,,,,,,,,,,,,,,No,,Yes,Transitioning From Academia To Industry Or Navigating Career Changes,Yes,Cornell Tech (NYC),"I am currently deepening experience in finance, investment and financial services and would love to connect around career paths and community.",In my free time I enjoy baking.,In my free time I enjoy baking.
01/17/2025 12:13:55,sherri.mason75@gmail.com,Sherri Mason,,Graduate student,,Other,Yes,271.690.6594x0139,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,Yes,"West Coast U.S., Western Europe",Yes,"Transitioning From Academia To Industry Or Navigating Career Changes, Work-Life Balance, Navigating The Workforce",No,,I am currently transitioning within engineering and I enjoy helping others think through next steps.,In my free time I enjoy dance and fitness classes.,In my free time I enjoy dance and fitness classes.
11/12/2025 23:10:12,barbara.hines76@outlook.com,Barbara Hines,Barb,PCCW member,,,Yes,(378)974-2967,Undergraduate,1.0,0.0,,,2nd,,,,,,,,,,3rd,,,,,,,1st Choice,,,,,,,,,,,No,,No,,No,,I am currently working in law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy student leadership.,In my free time I enjoy student leadership.
03/09/2025 14:22:48,michael.cook77@outlook.com,Michael Cook,Mich,Graduate student,,Other,Yes,+1-712-356-7468x07154,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,No,,Yes,"Networking, Navigating The Workforce, Entrepreneurship And Startup Advice",No,,I have been deepening experience in it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
04/13/2025 08:03:13,tara.powell78@outlook.com,Tara Powell,Tara,PCCW member,,,Yes,608.476.0385x97703,"Undergraduate, Graduate",1.0,0.0,,,,,,,,,,,,,1st Choice,2nd,,,,,,,,,,,,,,,,,No,,No,,Yes,Cornell Tech (NYC),I’m especially interested in bringing experience in entrepreneurship and startups and would love to connect around career paths and community.,In my free time I enjoy student leadership.,In my free time I enjoy student leadership.
05/18/2025 14:37:07,sara.kim79@outlook.com,Sara Kim,,PCCW member,,,No,,"Undergraduate, Graduate",1.0,2.0,,2nd,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,No,,No,,Yes,Cornell Ann S. Bowers College Of Computing And Information Science,I’m bringing experience in it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy music and live performances.,In my free time I enjoy music and live performances.
02/23/2025 01:39:26,helen.martinez80@cornell.edu,Helen Martinez,,Graduate student,,Graduate and Professional Student Assembly (GPSA),Yes,+1-393-424-8086x1317,,,,,,,,,,,,,,,,,,1st Choice,,,,2nd,,,,,,,,,,,,Yes,East Coast U.S.,No,,Yes,Cornell Law School,I’m especially interested in deepening experience in health and wellness and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
06/18/2025 05:59:06,tyrone.moran81@cornell.edu,Tyrone Moran,,Graduate student,,Other,No,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,2nd,,,Yes,"East Coast U.S., NYC Area",No,,Yes,Cornell Tech (NYC),"I am currently deepening experience in finance, investment and financial services and I enjoy helping others think through next steps.",In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
08/26/2025 12:45:26,william.hill82@outlook.com,William Hill,William,Undergraduate student,First Gen,,No,,,,,,,4th,,,5th,,,,,,,,,3rd,,,2nd,,1st Choice,,,,,,,,,,,Yes,"Western Europe, East Coast U.S.",Yes,"Work-Life Balance, Entrepreneurship And Startup Advice",Yes,Cornell Ann S. Bowers College Of Computing And Information Science,My background is in exploring law and legal services and I enjoy helping others think through next steps.,In my free time I enjoy running and hiking.,In my free time I enjoy running and hiking.
05/14/2025 17:49:13,mary.baird83@cornell.edu,Mary Baird,,PCCW member,,,Yes,378.626.3982,Graduate,3.0,1.0,,,,2nd,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,3rd,Yes,South Asia,Yes,Public Service And Non-Profit Careers,No,,I’m especially interested in bringing experience in law and legal services and I’m excited to learn from different perspectives.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
06/20/2025 10:51:31,kendra.dickerson84@cornell.edu,Kendra Dickerson,,Undergraduate student,Building Ourselves Through Sisterhood and Service (BOSS),,Yes,784-804-4997x27875,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,No,,Yes,Networking,Yes,Cornell Jeb E. Brooks School Of Public Policy,I’m especially interested in curious about law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
04/08/2025 05:18:56,stanley.morris85@cornell.edu,Stanley Morris,Stanley,PCCW member,,,No,,"Undergraduate, Graduate",1.0,2.0,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,No,,Yes,Public Service And Non-Profit Careers,Yes,Cornell Tech (NYC),My background is in bringing experience in engineering and would love to connect around career paths and community.,In my free time I enjoy running and hiking.,In my free time I enjoy running and hiking.
06/08/2025 20:07:14,jacob.terry86@cornell.edu,Jacob Terry,Jacob,PCCW member,,,No,,Undergraduate,3.0,3.0,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,Yes,East Coast U.S.,Yes,Career Guidance,Yes,Cornell Tech (NYC),I am currently bringing experience in it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy student leadership.,In my free time I enjoy student leadership.
08/16/2025 21:52:52,ashley.hall87@cornell.edu,Ashley Hall,Ashl,Graduate student,,Other,Yes,001-360-957-6627x02895,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,No,,No,,Yes,College Of Engineering,I’m deepening experience in entrepreneurship and startups and I value thoughtful mentoring relationships.,In my free time I enjoy music and live performances.,In my free time I enjoy music and live performances.
04/19/2025 05:31:10,cory.lozano88@gmail.com,Cory Lozano,Cory,Undergraduate student,Panhellenic/Multicultural Greek Fraternal Council,,No,,,,,,3rd,,,,,,,,,,,,,,,,,,1st Choice,,,2nd,,,,,,,,Yes,NYC Area,No,,Yes,Cornell Jeb E. Brooks School Of Public Policy,My background is in learning about law and legal services and I’m excited to learn from different perspectives.,In my free time I enjoy music and live performances.,In my free time I enjoy music and live performances.
09/13/2025 00:01:32,alexis.thomas89@cornell.edu,Alexis Thomas,Alexis,Undergraduate student,Professional/Academic Organization,,Yes,+1-921-274-5961x5865,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,Yes,NYC Area,No,,No,,My background is in learning about engineering and I value thoughtful mentoring relationships.,In my free time I enjoy cooking for friends.,In my free time I enjoy cooking for friends.
04/30/2025 22:43:48,christina.young90@outlook.com,Christina Young,,PCCW member,,,No,,"Undergraduate, Graduate",2.0,1.0,,,,2nd,,,,,,,,,,,,,,1st Choice,,,,,3rd,,,,,,,,No,,Yes,Entrepreneurship And Startup Advice,No,,My background is in working in it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy photography.,In my free time I enjoy photography.
02/05/2025 02:40:59,gabrielle.mitchell91@cornell.edu,Gabrielle Mitchell,Gabrielle,PCCW member,,,Yes,216.711.7240,"Undergraduate, Graduate",1.0,0.0,,,1st Choice,,,,,,,2nd,,,,,,,,,,,,,,,,,,,,,No,,No,,Yes,Graduate School Field Of Study,"I’m especially interested in working in biotech, pharmaceutical, life sciences, and medical devices and I value thoughtful mentoring relationships.",In my free time I enjoy baking.,In my free time I enjoy baking.
04/06/2025 05:17:18,laura.carter92@cornell.edu,Laura Carter,,PCCW member,,,Yes,(862)538-6922x219,Undergraduate,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,Yes,NYC Area,No,,No,,I’m especially interested in mentoring around veterinary medicine and I value thoughtful mentoring relationships.,In my free time I enjoy music and live performances.,In my free time I enjoy music and live performances.
02/07/2025 19:36:03,tyler.aguilar93@gmail.com,Tyler Aguilar,Tyler,Undergraduate student,First Gen,,Yes,474.374.0748,,,,,,,,,,,,,,,,,2nd,3rd,,,,,1st Choice,,,,,,,,,,,No,,No,,No,,I’m especially interested in learning about law and legal services and I enjoy helping others think through next steps.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
09/14/2025 18:57:53,scott.reed94@gmail.com,Scott Reed,Scott,Graduate student,,Cornell Tech,No,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,Yes,"West Coast U.S., NYC Area",Yes,Public Service And Non-Profit Careers,Yes,College Of Engineering,I’m transitioning within engineering and I enjoy helping others think through next steps.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
02/24/2025 21:59:46,briana.fowler95@outlook.com,Briana Fowler,,PCCW member,,,Yes,(647)243-6713x69594,"Undergraduate, Graduate",1.0,0.0,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,No,,Yes,Entrepreneurship And Startup Advice,Yes,College Of Engineering,I’m working in it and technology and would love to connect around career paths and community.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
11/13/2025 10:09:02,tiffany.barrett96@cornell.edu,Tiffany Barrett,Tiff,Graduate student,,Other,Yes,609-409-7439x533,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,Yes,NYC Area,No,,Yes,Cornell Tech (NYC),I have been deepening experience in engineering and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
10/25/2025 10:36:46,courtney.berger97@cornell.edu,Courtney Berger,,Undergraduate student,First Gen,,Yes,+1-504-470-9521x4562,,,,,,,,,,,,,,,,,2nd,,,,,,1st Choice,,,3rd,,,,,,,,Yes,NYC Area,No,,Yes,Cornell Jeb E. Brooks School Of Public Policy,I’m especially interested in exploring law and legal services and I enjoy helping others think through next steps.,In my free time I enjoy cooking for friends.,In my free time I enjoy cooking for friends.
05/13/2025 02:05:36,kristin.walter98@cornell.edu,Kristin Walter,,Graduate student,,Cornell Tech,No,,,,,,,,,,,,,,,,1st Choice,,,2nd,,,,,,,,,,,,,,,,No,,Yes,"Entrepreneurship And Startup Advice, First Generation Student Guidance, Navigating The Workforce",Yes,Cornell Tech (NYC),My background is in transitioning within engineering and would love to connect around career paths and community.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
07/11/2025 22:43:37,michael.shaw99@outlook.com,Michael Shaw,,PCCW member,,,No,,Undergraduate,2.0,3.0,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,NYC Area,No,,Yes,College Of Agriculture And Life Sciences,I have been bringing experience in academia and research and I enjoy helping others think through next steps.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
10/31/2025 00:54:54,joseph.martin100@outlook.com,Joseph Martin,,PCCW member,,,Yes,245.617.1236x8516,Undergraduate,4.0,1.0,,,,,,,,,,,,,,,2nd,,,,,1st Choice,,,,,,,,,,,No,,Yes,Public Service And Non-Profit Careers,No,,I have been bringing experience in law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy photography.,In my free time I enjoy photography.
04/14/2025 01:49:05,amanda.gibson101@cornell.edu,Amanda Gibson,Aman,Graduate student,,Cornell Tech,No,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,Yes,East Coast U.S.,No,,No,,I have been researching medicine and healthcare and would love to connect around career paths and community.,In my free time I enjoy photography.,In my free time I enjoy photography.
05/26/2025 05:18:05,emily.chambers102@outlook.com,Emily Chambers,,Graduate student,,Cornell Tech,Yes,001-765-513-7098,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,2nd,,,,,,,,No,,Yes,Entrepreneurship And Startup Advice,Yes,Cornell Tech (NYC),I’m transitioning within engineering and I value thoughtful mentoring relationships.,In my free time I enjoy volunteering with local nonprofits.,In my free time I enjoy volunteering with local nonprofits.
04/17/2025 00:48:31,deborah.reid103@cornell.edu,Deborah Reid,,PCCW member,,,Yes,446.812.0047x113,"Undergraduate, Graduate",2.0,0.0,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"NYC Area, East Coast U.S.",Yes,Navigating The Workforce,No,,My background is in bringing experience in corporate and general management and would love to connect around career paths and community.,In my free time I enjoy cooking for friends.,In my free time I enjoy cooking for friends.
11/10/2025 03:14:42,shawn.santiago104@gmail.com,Shawn Santiago,,PCCW member,,,Yes,001-586-992-6179x6405,Undergraduate,2.0,2.0,,,,,,,,,,,,,,,,,,,,1st Choice,2nd,,,,,,,,,,Yes,"East Coast U.S., East Asia",Yes,Navigating The Workforce,Yes,Cornell Law School,I’m bringing experience in law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy cooking for friends.,In my free time I enjoy cooking for friends.
03/07/2025 13:26:28,sean.young105@outlook.com,Sean Young,Sean,PCCW member,,,Yes,(515)285-0643x171,Graduate,1.0,0.0,,,,,,,,,,,,2nd,,,,,,1st Choice,,,,,,,,,,,,,No,,Yes,International Student Guidance,Yes,Cornell Ann S. Bowers College Of Computing And Information Science,My background is in mentoring around it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy student leadership.,In my free time I enjoy student leadership.
11/08/2025 23:35:19,brent.cook106@outlook.com,Brent Cook,,Undergraduate student,Women's Leadership Initiative (WLI),,No,,,,,,,,,,,,,,,,,,,,,2nd,,,1st Choice,,,,,,,,,,,No,,No,,No,,I’m especially interested in learning about law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy photography.,In my free time I enjoy photography.
02/09/2025 08:14:09,vanessa.buchanan107@outlook.com,Vanessa Buchanan,Vanessa,Graduate student,,Other,No,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,No,,Yes,Transitioning From Academia To Industry Or Navigating Career Changes,No,,I’m especially interested in researching engineering and would love to connect around career paths and community.,In my free time I enjoy campus community building.,In my free time I enjoy campus community building.
06/30/2025 09:24:17,jamie.gallegos108@outlook.com,Jamie Gallegos,Jamie,PCCW member,,,No,,Graduate,2.0,0.0,,,,1st Choice,,,,,,,,,2nd,,,,,,,,,,,,,,,,,,Yes,East Coast U.S.,Yes,Entrepreneurship And Startup Advice,Yes,Cornell SC Johnson College Of Business,I am currently working in business and I value thoughtful mentoring relationships.,In my free time I enjoy running and hiking.,In my free time I enjoy running and hiking.
09/29/2025 02:06:20,angela.willis109@outlook.com,Angela Willis,Ange,Graduate student,,Graduate and Professional Student Assembly (GPSA),No,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,Yes,U.K.,Yes,Networking,No,,I am currently researching entrepreneurship and startups and I’m excited to learn from different perspectives.,In my free time I enjoy language learning.,In my free time I enjoy language learning.
02/19/2025 07:36:32,lisa.hall110@cornell.edu,Lisa Hall,,Graduate student,,Cornell Tech,Yes,001-729-504-2284x21020,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,No,,Yes,"Entrepreneurship And Startup Advice, Work-Life Balance",No,,I’m deepening experience in entrepreneurship and startups and I enjoy helping others think through next steps.,In my free time I enjoy peer mentorship.,In my free time I enjoy peer mentorship.
