Name,Role,Student_Level,Email,Phone_Number,Organization,Location,College,Career_Interests,Field_1,Field_2,Field_3,Field_4,Field_5,Bio,Additional_Notes
Erika Rush,Mentee,Graduate,erika.rush152@outlook.com,(271)492-8565x431,Nan|Graduate And Professional Student Assembly (Gpsa),West Coast U.S.,Graduate School Field Of Study,None,Academia and research,Corporate and general management,None,None,None,I have been researching academia and research and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.
Victor Hughes,Mentee,Graduate,victor.hughes153@gmail.com,None,Nan|Cornell Tech,None,None,Transitioning From Academia To Industry Or Navigating Career Changes|Career Guidance|Navigating The Workforce,Engineering,Media and entertainment,None,None,None,My background is in transitioning within engineering and would love to connect around career paths and community.,In my free time I enjoy volunteering with local nonprofits.
Lisa Ponce,Mentee,Graduate,lisa.ponce155@gmail.com,None,Nan|Cornell Tech,None,Cornell Tech (NYC),None,IT and technology,Health and wellness,Marketing,None,None,I’m deepening experience in it and technology and would love to connect around career paths and community.,In my free time I enjoy photography.
Kayla Morrow,Mentee,Graduate,kayla.morrow158@cornell.edu,425-417-7852,Nan|Cornell Tech,None,Cornell Law School,Entrepreneurship And Startup Advice,Data and analytics,"Finance, investment and financial services",None,None,None,I have been transitioning within data and analytics and I enjoy helping others think through next steps.,In my free time I enjoy dance and fitness classes.
Ryan Bartlett,Mentee,Undergraduate,ryan.bartlett159@gmail.com,None,First Gen|Nan,None,Cornell SC Johnson College Of Business,Networking,Business,None,None,None,None,I have been exploring business and would love to connect around career paths and community.,In my free time I enjoy baking.
Brian Martinez,Mentee,Graduate,brian.martinez160@cornell.edu,None,Nan|Graduate And Professional Student Assembly (Gpsa),None,None,None,Engineering,None,None,None,None,I’m especially interested in deepening experience in engineering and I value thoughtful mentoring relationships.,In my free time I enjoy student leadership.
Eric Martin,Mentee,Undergraduate,eric.martin161@gmail.com,335-484-1438x42498,Panhellenic/Multicultural Greek Fraternal Council|Nan,South Asia,None,None,Law and legal services,Medicine and healthcare,None,None,None,I am currently learning about law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy volunteering with local nonprofits.
Brittany Carpenter,Mentee,Graduate,brittany.carpenter162@gmail.com,None,Nan|Other,None,None,Public Service And Non-Profit Careers,Medicine and healthcare,Architecture and urban planning,None,None,None,My background is in deepening experience in medicine and healthcare and would love to connect around career paths and community.,In my free time I enjoy baking.
George Weber,Mentee,Graduate,george.weber163@cornell.edu,None,Nan|Other,None,College Of Engineering,Work-Life Balance,IT and technology,None,None,None,None,My background is in deepening experience in it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy campus community building.
Rachel Morgan,Mentee,Graduate,rachel.morgan164@gmail.com,None,Nan|Other,None,None,Navigating The Workforce,Health and wellness,Marketing,None,None,None,I’m especially interested in researching health and wellness and I enjoy helping others think through next steps.,In my free time I enjoy language learning.
Sandra Williams,Mentee,Graduate,sandra.williams165@gmail.com,2109943969,Nan|Other,U.K.,None,Transitioning From Academia To Industry Or Navigating Career Changes|First Generation Student Guidance,IT and technology,Marketing,None,None,None,I’m researching it and technology and would love to connect around career paths and community.,In my free time I enjoy dance and fitness classes.
Pamela Gardner,Mentee,Undergraduate,pamela.gardner166@gmail.com,+1-947-536-4710x2767,Residence Hall Council|Nan,East Coast U.S.,Cornell Ann S. Bowers College Of Computing And Information Science,None,IT and technology,Engineering,None,None,None,I am currently curious about it and technology and I enjoy helping others think through next steps.,In my free time I enjoy language learning.
Matthew Thomas,Mentee,Graduate,matthew.thomas167@outlook.com,001-355-662-5881x537,Nan|Other,Western Europe,None,Career Guidance,IT and technology,None,None,None,None,I have been transitioning within it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy cooking for friends.
Brent Dougherty,Mentee,Graduate,brent.dougherty169@gmail.com,+1-963-625-9532x787,Nan|Other,None,None,Networking,Retail and consumer goods,None,None,None,None,My background is in researching retail and consumer goods and would love to connect around career paths and community.,In my free time I enjoy reading memoirs and essays.
Amanda Boone,Mentee,Undergraduate,amanda.boone172@outlook.com,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,None,College Of Human Ecology,Public Service And Non-Profit Careers|Career Guidance,Law and legal services,"Biotech, pharmaceutical, life sciences, and medical devices",Human resources,None,None,My background is in exploring law and legal services and would love to connect around career paths and community.,In my free time I enjoy peer mentorship.
Joshua Hays,Mentee,Graduate,joshua.hays175@gmail.com,+1-891-221-6558x52398,Nan|Other,None,Cornell Law School,International Student Guidance|Transitioning From Academia To Industry Or Navigating Career Changes|Career Guidance,Law and legal services,None,None,None,None,I have been transitioning within law and legal services and I’m excited to learn from different perspectives.,In my free time I enjoy reading memoirs and essays.
Brandon Taylor,Mentee,Graduate,brandon.taylor176@outlook.com,None,Nan|Other,None,College Of Engineering,Navigating The Workforce,Law and legal services,Consulting and strategy,None,None,None,My background is in researching law and legal services and I’m excited to learn from different perspectives.,In my free time I enjoy music and live performances.
Zachary Murphy,Mentee,Undergraduate,zachary.murphy179@outlook.com,+1-652-969-4958x887,Building Ourselves Through Sisterhood and Service (BOSS)|Nan,None,College Of Agriculture And Life Sciences,International Student Guidance,Medicine and healthcare,None,None,None,None,I’m learning about medicine and healthcare and I enjoy helping others think through next steps.,In my free time I enjoy photography.
Lisa Richardson,Mentee,Graduate,lisa.richardson180@gmail.com,None,Nan|Graduate And Professional Student Assembly (Gpsa),East Asia,None,None,Business,None,None,None,None,I am currently researching business and I’m excited to learn from different perspectives.,In my free time I enjoy cooking for friends.
Emily Whitney,Mentee,Graduate,emily.whitney181@cornell.edu,001-240-997-4993,Nan|Other,None,None,Work-Life Balance|Career Guidance,Health and wellness,None,None,None,None,I’m especially interested in transitioning within health and wellness and would love to connect around career paths and community.,In my free time I enjoy music and live performances.
George Fuller,Mentee,Graduate,george.fuller182@gmail.com,+1-462-830-9130x756,Nan|Other,None,Cornell Tech (NYC),None,IT and technology,None,None,None,None,I’m especially interested in transitioning within it and technology and I enjoy helping others think through next steps.,In my free time I enjoy yoga and mindfulness.
Erica Dillon,Mentee,Graduate,erica.dillon185@gmail.com,+1-749-973-3484x34437,Nan|Graduate And Professional Student Assembly (Gpsa),None,None,Entrepreneurship And Startup Advice,"Finance, investment and financial services",None,None,None,None,"I have been transitioning within finance, investment and financial services and I value thoughtful mentoring relationships.",In my free time I enjoy language learning.
Michael Peck,Mentee,Graduate,michael.peck186@gmail.com,001-344-719-8665x2404,Nan|Cornell Tech,None,College Of Engineering,Work-Life Balance,Engineering,None,None,None,None,I’m transitioning within engineering and I’m excited to learn from different perspectives.,In my free time I enjoy volunteering with local nonprofits.
Sandra Douglas,Mentee,Undergraduate,sandra.douglas187@outlook.com,001-573-238-4842x1993,Building Ourselves Through Sisterhood and Service (BOSS)|Nan,NYC Area,College Of Engineering,Networking,Engineering,Academia and research,Entrepreneurship and startups,None,None,I’m especially interested in curious about engineering and would love to connect around career paths and community.,In my free time I enjoy reading memoirs and essays.
Elizabeth Schmidt,Mentee,Graduate,elizabeth.schmidt188@cornell.edu,+1-930-916-5712x0826,Nan|Other,None,Cornell Law School,None,Law and legal services,Health and wellness,None,None,None,I’m researching law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy photography.
Debra Avila,Mentee,Undergraduate,debra.avila189@cornell.edu,854-901-9380x2620,Panhellenic/Multicultural Greek Fraternal Council|Nan,South Asia,Cornell Jeb E. Brooks School Of Public Policy,None,Law and legal services,Health and wellness,None,None,None,I have been exploring law and legal services and would love to connect around career paths and community.,In my free time I enjoy photography.
Jacob Curry,Mentee,Graduate,jacob.curry190@cornell.edu,None,Nan|Graduate And Professional Student Assembly (Gpsa),None,None,None,Data and analytics,None,None,None,None,My background is in transitioning within data and analytics and I enjoy helping others think through next steps.,In my free time I enjoy dance and fitness classes.
Monica Roberts,Mentee,Graduate,monica.roberts191@cornell.edu,9044991547,Nan|Cornell Tech,None,None,None,IT and technology,None,None,None,None,I’m transitioning within it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.
Gregory Chase,Mentee,Undergraduate,gregory.chase193@cornell.edu,(668)851-6122x7530,Professional/Academic Organization|Nan,NYC Area,Cornell Tech (NYC),Public Service And Non-Profit Careers|Career Guidance|Transitioning From Academia To Industry Or Navigating Career Changes,"Finance, investment and financial services",Medicine and healthcare,None,None,None,"My background is in exploring finance, investment and financial services and I enjoy helping others think through next steps.",In my free time I enjoy reading memoirs and essays.
Joe Molina,Mentee,Graduate,joe.molina194@cornell.edu,649-390-4530x17426,Nan|Cornell Tech,East Coast U.S.,None,None,Entrepreneurship and startups,None,None,None,None,I’m especially interested in transitioning within entrepreneurship and startups and I value thoughtful mentoring relationships.,In my free time I enjoy running and hiking.
Kathleen Becker,Mentee,Graduate,kathleen.becker196@cornell.edu,None,Nan|Cornell Tech,None,Cornell Ann S. Bowers College Of Computing And Information Science,Transitioning From Academia To Industry Or Navigating Career Changes|Career Guidance,IT and technology,None,None,None,None,I’m especially interested in researching it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy running and hiking.
Caitlin Cobb,Mentee,Graduate,caitlin.cobb197@outlook.com,478.751.9108x83982,Nan|Other,East Asia,Cornell Jeb E. Brooks School Of Public Policy,Career Guidance,Law and legal services,None,None,None,None,I have been researching law and legal services and I’m excited to learn from different perspectives.,In my free time I enjoy reading memoirs and essays.
Melissa Ramos,Mentee,Undergraduate,melissa.ramos198@outlook.com,None,Other|Nan,South Asia|NYC Area,Cornell SC Johnson College Of Business,Entrepreneurship And Startup Advice,"Finance, investment and financial services",Corporate and general management,None,None,None,"I’m learning about finance, investment and financial services and would love to connect around career paths and community.",In my free time I enjoy language learning.
Erin Love,Mentee,Graduate,erin.love199@outlook.com,None,Nan|Cornell Tech,West Coast U.S.,None,None,Engineering,None,None,None,None,I am currently researching engineering and I’m excited to learn from different perspectives.,In my free time I enjoy peer mentorship.
Anthony Ortiz,Mentee,Graduate,anthony.ortiz202@cornell.edu,001-826-456-7661x82512,Nan|Cornell Tech,None,Cornell Tech (NYC),Navigating The Workforce,IT and technology,Engineering,None,None,None,I have been transitioning within it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy volunteering with local nonprofits.
Lisa Barnes,Mentee,Undergraduate,lisa.barnes205@cornell.edu,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,NYC Area,Cornell Jeb E. Brooks School Of Public Policy,Transitioning From Academia To Industry Or Navigating Career Changes|Work-Life Balance,Law and legal services,Business,None,None,None,I have been exploring law and legal services and would love to connect around career paths and community.,In my free time I enjoy baking.
Alexis Harris,Mentee,Graduate,alexis.harris207@gmail.com,990-579-0306,Nan|Other,None,None,Career Guidance|Transitioning From Academia To Industry Or Navigating Career Changes,"Finance, investment and financial services",None,None,None,None,"I have been researching finance, investment and financial services and I’m excited to learn from different perspectives.",In my free time I enjoy travel planning.
Ricky Evans,Mentee,Undergraduate,ricky.evans210@outlook.com,(887)833-4270,Women's Leadership Initiative (WLI)|Nan,None,Cornell Ann S. Bowers College Of Computing And Information Science,International Student Guidance,IT and technology,Engineering,None,None,None,I have been curious about it and technology and would love to connect around career paths and community.,In my free time I enjoy dance and fitness classes.
Suzanne Wilson,Mentee,Undergraduate,suzanne.wilson213@cornell.edu,001-673-693-6385x46785,Panhellenic/Multicultural Greek Fraternal Council|Nan,East Coast U.S.|Western Europe,None,None,IT and technology,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,My background is in learning about it and technology and I enjoy helping others think through next steps.,In my free time I enjoy running and hiking.
Angela Silva,Mentee,Graduate,angela.silva215@gmail.com,None,Nan|Other,NYC Area,College Of Human Ecology,None,"Journalism, publishing and communications",None,None,None,None,"I’m deepening experience in journalism, publishing and communications and would love to connect around career paths and community.",In my free time I enjoy dance and fitness classes.
Jennifer Phillips,Mentee,Graduate,jennifer.phillips216@cornell.edu,653.969.3785,Nan|Other,None,None,None,Health and wellness,Marketing,None,None,None,I am currently deepening experience in health and wellness and I’m excited to learn from different perspectives.,In my free time I enjoy music and live performances.
Tammy May,Mentee,Graduate,tammy.may217@gmail.com,372.252.2872x8080,Nan|Other,NYC Area,None,None,Academia and research,"Journalism, publishing and communications",None,None,None,My background is in transitioning within academia and research and I’m excited to learn from different perspectives.,In my free time I enjoy cooking for friends.
Kathy Gutierrez,Mentee,Graduate,kathy.gutierrez218@cornell.edu,+1-931-220-3875x0997,Nan|Other,West Coast U.S.|NYC Area,Weill Cornell Medicine (NYC),Career Guidance|Transitioning From Academia To Industry Or Navigating Career Changes|Navigating The Workforce,Medicine and healthcare,None,None,None,None,I’m transitioning within medicine and healthcare and would love to connect around career paths and community.,In my free time I enjoy campus community building.
Adam Arnold,Mentee,Graduate,adam.arnold219@cornell.edu,None,Nan|Cornell Tech,East Coast U.S.,Weill Cornell Medicine (NYC),None,Medicine and healthcare,None,None,None,None,My background is in transitioning within medicine and healthcare and I value thoughtful mentoring relationships.,In my free time I enjoy language learning.
Joseph Glass,Mentee,Graduate,joseph.glass224@cornell.edu,+1-448-590-2503x92614,Nan|Other,None,Graduate School Field Of Study,Transitioning From Academia To Industry Or Navigating Career Changes,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,None,"My background is in researching biotech, pharmaceutical, life sciences, and medical devices and I enjoy helping others think through next steps.",In my free time I enjoy music and live performances.
Ashley Atkinson,Mentee,Graduate,ashley.atkinson225@outlook.com,+1-885-762-1850x16315,Nan|Other,NYC Area|West Coast U.S.,None,Transitioning From Academia To Industry Or Navigating Career Changes,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,None,"I am currently transitioning within biotech, pharmaceutical, life sciences, and medical devices and I enjoy helping others think through next steps.",In my free time I enjoy student leadership.
Jennifer Miller,Mentee,Graduate,jennifer.miller227@outlook.com,(662)965-5110,Nan|Graduate And Professional Student Assembly (Gpsa),None,Cornell Tech (NYC),Entrepreneurship And Startup Advice,"Finance, investment and financial services",None,None,None,None,"I have been transitioning within finance, investment and financial services and would love to connect around career paths and community.",In my free time I enjoy travel planning.
Michael Nelson,Mentee,Graduate,michael.nelson228@outlook.com,(312)267-8886,Nan|Other,East Asia|NYC Area,None,Transitioning From Academia To Industry Or Navigating Career Changes,Engineering,None,None,None,None,I have been deepening experience in engineering and I enjoy helping others think through next steps.,In my free time I enjoy language learning.
Christopher Spencer,Mentee,Graduate,christopher.spencer229@outlook.com,+1-495-860-4661x839,Nan|Cornell Tech,U.K.,College Of Engineering,Entrepreneurship And Startup Advice|Career Guidance|Navigating The Workforce,Engineering,Health and wellness,None,None,None,I have been researching engineering and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.
Gavin Adams,Mentee,Graduate,gavin.adams230@gmail.com,None,Nan|Other,East Asia|West Coast U.S.,Graduate School Field Of Study,Transitioning From Academia To Industry Or Navigating Career Changes,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,None,"I have been deepening experience in biotech, pharmaceutical, life sciences, and medical devices and I enjoy helping others think through next steps.",In my free time I enjoy language learning.
Joseph Thomas,Mentee,Undergraduate,joseph.thomas231@gmail.com,(564)964-7154,Women's Leadership Initiative (WLI)|Nan,Eastern Europe|East Asia,None,None,Law and legal services,Business,Health and wellness,None,None,I’m learning about law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy running and hiking.
Brittney Gonzalez,Mentee,Undergraduate,brittney.gonzalez232@gmail.com,924-706-5965,First Gen|Nan,None,None,Public Service And Non-Profit Careers,Law and legal services,Design,None,None,None,I have been learning about law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy campus community building.
Ryan Colon,Mentee,Undergraduate,ryan.colon233@cornell.edu,None,Residence Hall Council|Nan,NYC Area,None,Career Guidance|Public Service And Non-Profit Careers,IT and technology,Business,None,None,None,My background is in curious about it and technology and I enjoy helping others think through next steps.,In my free time I enjoy language learning.
Debra Wheeler,Mentee,Graduate,debra.wheeler234@cornell.edu,None,Nan|Other,None,None,None,Law and legal services,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,I have been deepening experience in law and legal services and I’m excited to learn from different perspectives.,In my free time I enjoy travel planning.
Kevin Morrison,Mentee,Graduate,kevin.morrison235@cornell.edu,001-837-652-6547x935,Nan|Cornell Tech,None,None,Career Guidance|Networking,Architecture and urban planning,None,None,None,None,I have been transitioning within architecture and urban planning and I enjoy helping others think through next steps.,In my free time I enjoy campus community building.
Lisa Long,Mentee,Undergraduate,lisa.long236@outlook.com,593-998-2807,Women's Leadership Initiative (WLI)|Nan,None,None,None,IT and technology,Medicine and healthcare,Corporate and general management,None,None,I have been learning about it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.
Lauren Guerra,Mentee,Graduate,lauren.guerra237@outlook.com,None,Nan|Graduate And Professional Student Assembly (Gpsa),None,None,Career Guidance|Work-Life Balance,Academia and research,None,None,None,None,My background is in deepening experience in academia and research and I value thoughtful mentoring relationships.,In my free time I enjoy photography.
Kelsey Chapman,Mentee,Undergraduate,kelsey.chapman241@gmail.com,925.507.1461x12545,First Gen|Nan,None,None,Public Service And Non-Profit Careers,Law and legal services,None,None,None,None,I have been curious about law and legal services and would love to connect around career paths and community.,In my free time I enjoy volunteering with local nonprofits.
Erica Martin,Mentee,Undergraduate,erica.martin243@outlook.com,None,First Gen|Nan,East Asia|East Coast U.S.,None,Public Service And Non-Profit Careers,Law and legal services,IT and technology,None,None,None,My background is in curious about law and legal services and I enjoy helping others think through next steps.,In my free time I enjoy baking.
Tonya Sanchez,Mentee,Graduate,tonya.sanchez244@outlook.com,None,Nan|Cornell Tech,None,None,None,Engineering,None,None,None,None,My background is in transitioning within engineering and I value thoughtful mentoring relationships.,In my free time I enjoy yoga and mindfulness.
Greg Moore,Mentee,Graduate,greg.moore245@outlook.com,+1-267-536-2266,Nan|Graduate And Professional Student Assembly (Gpsa),East Coast U.S.,None,None,Data and analytics,None,None,None,None,My background is in deepening experience in data and analytics and would love to connect around career paths and community.,In my free time I enjoy baking.
Shannon Jordan,Mentee,Graduate,shannon.jordan246@outlook.com,7337419182,Nan|Other,East Coast U.S.,None,Work-Life Balance|Career Guidance,Law and legal services,None,None,None,None,I am currently transitioning within law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.
Samantha Lawrence,Mentee,Undergraduate,samantha.lawrence248@outlook.com,None,Other|Nan,None,None,None,"Biotech, pharmaceutical, life sciences, and medical devices",Media and entertainment,None,None,None,"I’m learning about biotech, pharmaceutical, life sciences, and medical devices and I enjoy helping others think through next steps.",In my free time I enjoy volunteering with local nonprofits.
Emily Edwards,Mentee,Undergraduate,emily.edwards249@outlook.com,441.825.2866,Women's Leadership Initiative (WLI)|Nan,None,College Of Arts And Sciences,None,Medicine and healthcare,Engineering,Real estate,None,None,My background is in learning about medicine and healthcare and I value thoughtful mentoring relationships.,In my free time I enjoy dance and fitness classes.
